,Day,Date,workoutActivityType,duration,durationUnit,activeEnergyBurned,basalEnergyBurned
26,Monday,2022-02-07,FunctionalStrengthTraining,18.96334013342857,min,134.898,27.5593
27,Thursday,2022-02-10,Walking,23.25407534042994,min,70.6457,33.5322
28,Friday,2022-02-11,StairClimbing,1.029913433392843,min,9.257,1.364
29,Friday,2022-02-11,StairClimbing,10.13684003353119,min,102.766,15.207
30,Friday,2022-02-11,FunctionalStrengthTraining,35.15495686531067,min,217.763,51.0863
31,Saturday,2022-02-12,Walking,20.00303393205007,min,111.2,29.016
32,Saturday,2022-02-12,FunctionalStrengthTraining,30.10184923410416,min,122.931,43.6032
33,Tuesday,2022-02-15,StairClimbing,10.02588869929314,min,96.9729,14.3677
34,Tuesday,2022-02-15,FunctionalStrengthTraining,30.23808478315671,min,180.946,43.958
35,Tuesday,2022-02-15,Walking,19.40312349796295,min,82.0599,28.1198
36,Saturday,2022-02-19,Walking,32.7187051653862,min,223.262,47.554
37,Saturday,2022-02-19,FunctionalStrengthTraining,22.85754693349202,min,124.136,33.1989
38,Monday,2022-02-21,CoreTraining,20.35676936705907,min,71.034,29.574
39,Monday,2022-02-21,Walking,10.67550605138143,min,76.9032,15.4057
40,Monday,2022-02-21,FunctionalStrengthTraining,40.41467068394025,min,222.755,58.8206
41,Tuesday,2022-02-22,Cycling,19.4108393172423,min,86.7816,28.192
42,Tuesday,2022-02-22,StairClimbing,17.64661604960759,min,149.761,28.4178
43,Wednesday,2022-02-23,Walking,33.66215888261795,min,226.318,48.8203
44,Wednesday,2022-02-23,FunctionalStrengthTraining,78.54609499971072,min,298.121,114.452
45,Friday,2022-02-25,Walking,17.20164533456166,min,95.161,24.7856
46,Friday,2022-02-25,FunctionalStrengthTraining,36.83231285015742,min,184.991,53.5994
47,Monday,2022-03-14,FunctionalStrengthTraining,62.20972548325857,min,280.804,90.5701
48,Tuesday,2022-03-15,FunctionalStrengthTraining,32.86674913366635,min,120.305,47.8059
49,Wednesday,2022-03-16,FunctionalStrengthTraining,55.06024739940961,min,172.247,80.167
50,Tuesday,2022-03-29,FunctionalStrengthTraining,43.66313563386599,min,169.351,63.6116
51,Thursday,2022-03-31,StairClimbing,14.00949186484019,min,119.454,22.9956
52,Tuesday,2022-04-05,StairClimbing,16.03578046560288,min,146.451,24.9072
53,Tuesday,2022-04-05,FunctionalStrengthTraining,21.6580147822698,min,95.7775,31.4114
54,Wednesday,2022-04-06,FunctionalStrengthTraining,75.35143503348033,min,302.048,109.773
55,Monday,2022-04-11,FunctionalStrengthTraining,62.68894523382187,min,277.131,91.3001
56,Saturday,2022-04-23,Hiking,58.11245629986127,min,216.322,84.1037
57,Tuesday,2022-05-10,Swimming,30.86111187934875,min,121.012,44.7615
58,Tuesday,2022-05-10,Walking,26.21737507184347,min,93.8299,37.6022
59,Friday,2022-05-13,Walking,31.10944308241208,min,144.498,45.012
60,Saturday,2022-05-14,Walking,31.53671664992968,min,130.715,45.5581
61,Saturday,2022-05-14,Cycling,13.33652578393618,min,87.9438,19.2895
62,Monday,2022-05-16,Walking,30.1977256834507,min,134.718,43.7412
63,Wednesday,2022-05-18,Walking,38.02909372647603,min,175.642,55.0512
64,Friday,2022-05-20,Walking,60.20677458246549,min,280.792,87.2771
65,Monday,2022-05-23,Cycling,46.26906575163206,min,260.394,67.2981
66,Wednesday,2022-05-25,Walking,54.2935714662075,min,233.822,78.687
67,Tuesday,2022-06-07,Swimming,11.94086375037829,min,21.7935,17.209
68,Thursday,2022-06-30,Yoga,24.22712608377139,min,53.2382,35.2207
69,Monday,2022-07-18,TraditionalStrengthTraining,29.04146253466606,min,168.556,41.9335
70,Wednesday,2022-07-20,TraditionalStrengthTraining,34.45199920137723,min,216.384,49.7058
71,Friday,2022-07-22,TraditionalStrengthTraining,32.69413719971975,min,181.267,46.7545
72,Saturday,2022-07-23,TraditionalStrengthTraining,43.32862778306007,min,268.2,61.8683
73,Sunday,2022-07-24,Swimming,63.4648685614268,min,123.077,92.2091
74,Wednesday,2022-07-27,TraditionalStrengthTraining,26.2185027996699,min,132.466,36.6706
75,Friday,2022-07-29,TraditionalStrengthTraining,46.0367208480835,min,304.87,65.1889
76,Monday,2022-08-01,StairClimbing,20.75873186588287,min,182.464,30.1753
77,Saturday,2022-08-06,StairClimbing,17.39097548325856,min,131.479,25.234
78,Saturday,2022-08-06,Walking,11.16329424977303,min,82.1005,16.1428
79,Monday,2022-08-22,Elliptical,10.82188968261083,min,90.4701,15.7034
80,Monday,2022-08-22,TraditionalStrengthTraining,10.49239376584689,min,75.8789,14.9792
81,Tuesday,2022-08-23,TraditionalStrengthTraining,23.30782566666603,min,142.294,32.749
82,Wednesday,2022-08-24,Elliptical,7.975590433677038,min,61.712,11.0395
83,Wednesday,2022-08-24,CoreTraining,22.65535126527151,min,98.0409,32.9546
84,Thursday,2022-08-25,FunctionalStrengthTraining,28.0598497847716,min,120.062,40.8283
85,Friday,2022-08-26,FunctionalStrengthTraining,33.7523106833299,min,195.644,49.1525
86,Saturday,2022-08-27,FunctionalStrengthTraining,36.71576621731122,min,158.723,53.4299
87,Monday,2022-08-29,FunctionalStrengthTraining,22.32977323333422,min,91.3278,32.4999
88,Tuesday,2022-08-30,FunctionalStrengthTraining,30.69490618308385,min,127.151,44.641
89,Wednesday,2022-08-31,Running,26.78582661747932,min,155.603,38.9839
90,Wednesday,2022-08-31,Elliptical,21.05209435025851,min,55.236,30.69
91,Thursday,2022-09-01,FunctionalStrengthTraining,26.7417533159256,min,145.203,38.812
92,Monday,2022-09-05,Walking,6.284880433479945,min,13.848,8.866
93,Monday,2022-09-05,FunctionalStrengthTraining,38.02562925020854,min,201.865,55.3655
94,Wednesday,2022-09-07,Running,19.30958456794421,min,138.254,28.0083
95,Tuesday,2022-09-13,FunctionalStrengthTraining,30.39440513451894,min,153.83,44.1621
96,Monday,2022-09-19,Running,16.40986629923185,min,118.057,23.8525
97,Tuesday,2022-10-04,FunctionalStrengthTraining,7.147188617785772,min,11.4726,10.3281
98,Saturday,2022-11-19,Walking,46.33328203360239,min,216.014,67.0795
99,Tuesday,2022-11-22,CrossTraining,60.70317914883296,min,353.518,88.003
100,Thursday,2022-11-24,StairClimbing,21.34458221594492,min,181.686,30.9764
101,Thursday,2022-12-15,StairClimbing,6.31043653289477,min,14.4649,9.08877
102,Tuesday,2022-12-27,Walking,56.44509298205376,min,247.613,81.9882
103,Monday,2023-01-16,FunctionalStrengthTraining,31.20875531633695,min,160.372,45.4084
104,Wednesday,2023-01-18,Running,6.202049684524536,min,42.588,8.866
105,Wednesday,2023-01-18,FunctionalStrengthTraining,23.6673960506916,min,90.7227,34.4064
106,Friday,2023-01-20,FunctionalStrengthTraining,33.41730071703593,min,157.542,48.5582
107,Monday,2023-01-23,FunctionalStrengthTraining,56.94464414914449,min,192.049,82.9131
108,Tuesday,2023-01-24,FunctionalStrengthTraining,31.99484236836433,min,161.701,46.5796
109,Wednesday,2023-01-25,FunctionalStrengthTraining,49.96256024837494,min,254.357,72.7755
110,Friday,2023-01-27,FunctionalStrengthTraining,34.87057989835739,min,163.399,50.7584
111,Saturday,2023-01-28,Yoga,37.81784841616948,min,108.17,54.973
112,Sunday,2023-01-29,FunctionalStrengthTraining,24.09786799947421,min,125.65,35.0042
113,Monday,2023-01-30,FunctionalStrengthTraining,43.38227013349533,min,204.568,62.9864
114,Tuesday,2023-01-31,Elliptical,27.87426971793175,min,265.228,40.5231
115,Wednesday,2023-02-01,Elliptical,7.594916649659475,min,73.9118,10.9526
116,Wednesday,2023-02-01,FunctionalStrengthTraining,38.02073894937833,min,220.102,55.304
117,Thursday,2023-02-02,Elliptical,14.69859558343887,min,125.782,21.269
118,Thursday,2023-02-02,FunctionalStrengthTraining,18.79578886628151,min,83.8773,27.2868
119,Saturday,2023-02-04,FunctionalStrengthTraining,31.93287591735522,min,155.9,46.4377
120,Thursday,2023-02-09,Pickleball,26.79675173362096,min,162.983,38.788
121,Saturday,2023-02-11,Running,32.50501363277435,min,280.799,47.1355
122,Tuesday,2023-02-14,Running,22.71699205040932,min,183.235,33.0007
123,Wednesday,2023-02-15,FunctionalStrengthTraining,32.62315021554629,min,127.95,47.5141
124,Monday,2023-02-20,Walking,16.30978291034699,min,68.9223,23.4814
125,Sunday,2023-02-26,FunctionalStrengthTraining,20.53955583175023,min,99.4278,29.7283
126,Tuesday,2023-02-28,Yoga,10.93149135112762,min,29.481,15.8325
127,Monday,2023-03-06,Walking,20.19594688812892,min,86.7796,29.2096
128,Saturday,2023-03-18,Walking,91.59638935128848,min,237.661,133.414
129,Sunday,2023-03-19,Snowboarding,113.6024501184622,min,743.656,165.107
130,Sunday,2023-03-19,Snowboarding,190.7057580669721,min,1201.21,277.134
131,Monday,2023-03-20,Snowboarding,161.4006953994433,min,955.023,234.584
132,Monday,2023-03-20,Snowboarding,144.4590335170428,min,1030.28,209.958
133,Thursday,2023-03-23,Walking,49.25463070074717,min,251.941,71.49
134,Saturday,2023-03-25,Walking,33.68705485065778,min,155.213,48.7708
135,Saturday,2023-03-25,Pilates,20.3857506831487,min,64.4047,29.7263
136,Saturday,2023-03-25,Cooldown,5.787883816162745,min,17.143,8.34677
137,Sunday,2023-03-26,Yoga,10.8342179497083,min,39.7613,15.6475
138,Saturday,2023-04-01,Hiking,122.6907673835754,min,577.784,178.087
139,Saturday,2023-04-29,Walking,15.05876047412554,min,60.114,21.6217
140,Friday,2023-05-12,Walking,5.15625766714414,min,9.08704,7.48933
141,Monday,2023-05-15,Cycling,25.58157479961713,min,189.022,37.2
142,Wednesday,2023-05-17,Walking,54.70355641643206,min,232.929,79.431
143,Friday,2023-05-19,Walking,60.11281530062357,min,240.737,87.058
144,Thursday,2023-05-25,Pilates,30.89888084928195,min,63.9747,45.0158
145,Saturday,2023-05-27,Walking,51.80453104376793,min,157.576,74.7973
146,Thursday,2023-06-01,Walking,94.08729865352312,min,234.358,136.882
147,Monday,2023-06-12,Walking,34.21950032114982,min,110.263,49.264
148,Monday,2023-06-12,Pickleball,18.39431623220444,min,85.4658,26.0782
149,Monday,2023-06-12,Pickleball,69.46101907491683,min,322.031,100.3
150,Sunday,2023-06-18,Hiking,139.433298633496,min,453.549,202.629
151,Monday,2023-06-19,Pickleball,63.58833553393682,min,458.48,92.2185
152,Monday,2023-06-26,Pickleball,113.991975581646,min,585.01,163.59
153,Tuesday,2023-07-04,Yoga,20.83283293445905,min,79.7477,30.2406
154,Tuesday,2023-07-04,CardioDance,20.70021333297094,min,133.054,29.9947
155,Saturday,2023-07-15,Hiking,95.20189796686172,min,295.882,138.377
156,Saturday,2023-07-22,Hiking,126.7378839333852,min,349.876,184.52
157,Saturday,2023-07-22,Hiking,70.00854008197784,min,278.878,101.696
158,Thursday,2023-07-27,Elliptical,10.75512495040894,min,93.088,15.3967
159,Thursday,2023-07-27,Cycling,26.53101738492648,min,188.414,38.6108
160,Monday,2023-08-14,Walking,36.31626197894414,min,117.203,52.6577
161,Saturday,2023-09-16,Walking,101.6730787913005,min,297.967,147.913
162,Saturday,2023-09-16,Walking,51.19883232116699,min,133.45,74.2877
163,Tuesday,2023-09-26,Walking,26.05683354139328,min,105.433,37.4469
164,Saturday,2023-10-14,Walking,57.60684043367704,min,152.586,83.715
165,Monday,2023-10-16,CardioDance,33.3362335662047,min,37.8256,48.4885
166,Thursday,2023-10-19,Walking,22.02297523419062,min,85.1475,31.7538
167,Saturday,2023-10-21,Walking,120.4855229198933,min,326.894,175.036
168,Saturday,2023-10-21,Walking,39.36581221421559,min,99.759,57.057
169,Wednesday,2023-11-01,Walking,10.30051307479541,min,39.4891,14.602
170,Wednesday,2023-11-08,Walking,13.08026758233706,min,40.5176,18.7849
171,Friday,2023-11-10,Walking,62.3448412835598,min,298.355,90.3301
172,Saturday,2023-11-11,Walking,60.07228973309199,min,316.253,87.12
173,Monday,2023-11-13,Walking,23.64588666160902,min,79.3279,34.158
174,Wednesday,2023-11-15,Walking,16.31215282479922,min,57.342,23.5644
175,Saturday,2023-11-18,Walking,57.44843248327573,min,286.443,83.211
176,Tuesday,2023-11-21,Walking,88.99360649784406,min,403.701,129.073
177,Wednesday,2023-11-22,Cycling,48.98895726799965,min,392.196,71.3
178,Tuesday,2023-11-28,Walking,30.03071676294009,min,32.162,0.621
179,Monday,2023-12-04,Walking,13.25338454842568,min,51.9597,19.148
180,Wednesday,2023-12-06,Walking,13.86282250285149,min,59.858,19.8929
181,Tuesday,2023-12-26,Walking,43.27672969897588,min,204.7,62.5613
182,Saturday,2024-01-13,CardioDance,34.20407945116361,min,229.279,49.8147
183,Tuesday,2024-01-16,CardioDance,105.946438284715,min,245.326,154.447
184,Wednesday,2024-01-24,Walking,27.75332833925883,min,90.9682,40.1174
185,Thursday,2024-01-25,Walking,24.18740293383598,min,112.633,34.9547
186,Thursday,2024-02-01,Walking,23.9700147887071,min,86.9272,34.467
187,Wednesday,2024-02-07,Walking,37.72832336624463,min,108.665,54.571
188,Thursday,2024-02-08,Walking,2.530505216121674,min,9.065,3.534
189,Tuesday,2024-02-13,Walking,26.83693188031515,min,95.7959,38.75
190,Thursday,2024-02-15,Walking,9.749273018042247,min,31.46,13.835
191,Monday,2024-02-19,Walking,18.4260312239329,min,59.1871,26.6049
192,Tuesday,2024-02-20,Walking,30.35792161027591,min,0.506,1.117
193,Tuesday,2024-02-20,Walking,56.23679273327192,min,206.411,81.4514
194,Thursday,2024-02-22,Yoga,10.78621088266373,min,29.1788,15.6707
195,Saturday,2024-02-24,Walking,16.31089242299398,min,59.1732,23.4807
196,Saturday,2024-02-24,Walking,18.04376473625501,min,86.0645,25.9557
197,Monday,2024-02-26,Walking,42.28029280900955,min,119.391,61.3908
198,Tuesday,2024-02-27,Walking,27.60733693639437,min,97.5102,39.9879
199,Thursday,2024-02-29,Walking,30.77332925796509,min,140.752,44.3841
200,Tuesday,2024-03-05,Walking,31.83682063817978,min,87.7514,45.9643
201,Wednesday,2024-03-06,Walking,25.48188707828522,min,79.1076,36.7328
202,Tuesday,2024-03-12,Walking,36.25105138023694,min,101.026,52.2986
203,Wednesday,2024-03-13,Walking,32.83079655766487,min,109.923,47.542
204,Wednesday,2024-03-27,Walking,14.0587820370992,min,48.8838,19.9027
205,Thursday,2024-03-28,Walking,25.74602631727855,min,131.254,37.2635
206,Friday,2024-04-05,Walking,33.39693952004115,min,108.959,48.2697
